contig_1_22A1L9-1	4391597	19	60	61
contig_2_22A1L9-1	8331	4464829	60	61
contig_3_22A1L9-1	14209	4473318	60	61
contig_4_22A1L9-1	34916	4487783	60	61
contig_1_22A1L9-2	145183	19	60	61
contig_2_22A1L9-2	137399	147641	60	61
contig_3_22A1L9-2	29235	287349	60	61
contig_4_22A1L9-2	4089501	317091	60	61
contig_5_22A1L9-2	8342	4474770	60	61
contig_7_22A1L9-2	14194	4483271	60	61
contig_8_22A1L9-2	17470	4497721	60	61
contig_1_22A1L9-3	17463	19	60	61
contig_2_22A1L9-3	4395991	17793	60	61
contig_3_22A1L9-3	14230	4487070	60	61
contig_4_22A1L9-3	8357	4501557	60	61
contig_1_22A1L9-4	105699	19	60	61
contig_10_22A1L9-4	70184	107500	60	61
contig_11_22A1L9-4	86153	178874	60	61
contig_12_22A1L9-4	69671	266483	60	61
contig_13_22A1L9-4	154716	337336	60	61
contig_14_22A1L9-4	71300	494651	60	61
contig_15_22A1L9-4	39395	567160	60	61
contig_16_22A1L9-4	14746	607232	60	61
contig_17_22A1L9-4	33522	622244	60	61
contig_18_22A1L9-4	49262	656345	60	61
contig_19_22A1L9-4	97424	706449	60	61
contig_2_22A1L9-4	30782	805516	60	61
contig_20_22A1L9-4	25730	836832	60	61
contig_21_22A1L9-4	22799	863011	60	61
contig_22_22A1L9-4	101547	886210	60	61
contig_23_22A1L9-4	69969	989470	60	61
contig_24_22A1L9-4	22505	1060626	60	61
contig_25_22A1L9-4	15293	1083527	60	61
contig_26_22A1L9-4	80284	1099095	60	61
contig_27_22A1L9-4	20455	1180738	60	61
contig_28_22A1L9-4	69572	1201554	60	61
contig_29_22A1L9-4	41820	1272306	60	61
contig_30_22A1L9-4	131493	1314843	60	61
contig_31_22A1L9-4	8389	1448548	60	61
contig_32_22A1L9-4	27996	1457097	60	61
contig_33_22A1L9-4	34726	1485580	60	61
contig_34_22A1L9-4	4054	1520905	60	61
contig_35_22A1L9-4	8859	1525047	60	61
contig_36_22A1L9-4	89523	1534074	60	61
contig_37_22A1L9-4	8328	1625110	60	61
contig_38_22A1L9-4	29982	1633597	60	61
contig_39_22A1L9-4	28094	1664099	60	61
contig_4_22A1L9-4	128087	1692681	60	61
contig_40_22A1L9-4	161365	1822923	60	61
contig_41_22A1L9-4	30808	1986998	60	61
contig_42_22A1L9-4	49543	2018340	60	61
contig_43_22A1L9-4	65615	2068729	60	61
contig_44_22A1L9-4	229228	2135458	60	61
contig_45_22A1L9-4	122099	2368527	60	61
contig_46_22A1L9-4	25042	2492681	60	61
contig_47_22A1L9-4	49528	2518161	60	61
contig_48_22A1L9-4	86925	2568535	60	61
contig_49_22A1L9-4	57043	2656929	60	61
contig_5_22A1L9-4	131974	2714942	60	61
contig_6_22A1L9-4	39369	2849135	60	61
contig_7_22A1L9-4	14628	2889180	60	61
contig_8_22A1L9-4	53977	2904071	60	61
contig_9_22A1L9-4	293116	2958967	60	61
contig_2_22A1L9-5	3266038	19	60	61
contig_3_22A1L9-5	1047471	3320510	60	61
contig_1_22A1NFb-1	18820	20	60	61
contig_10_22A1NFb-1	86074	19175	60	61
contig_11_22A1NFb-1	14110	106705	60	61
contig_12_22A1NFb-1	16781	121072	60	61
contig_13_22A1NFb-1	10574	138154	60	61
contig_14_22A1NFb-1	11340	148926	60	61
contig_15_22A1NFb-1	29768	160476	60	61
contig_16_22A1NFb-1	14143	190762	60	61
contig_17_22A1NFb-1	65931	205162	60	61
contig_18_22A1NFb-1	120082	272213	60	61
contig_19_22A1NFb-1	26420	394318	60	61
contig_2_22A1NFb-1	377591	421199	60	61
contig_20_22A1NFb-1	38135	805105	60	61
contig_21_22A1NFb-1	89928	843897	60	61
contig_22_22A1NFb-1	66431	935345	60	61
contig_23_22A1NFb-1	8507	1002905	60	61
contig_24_22A1NFb-1	17202	1011575	60	61
contig_25_22A1NFb-1	24098	1029085	60	61
contig_26_22A1NFb-1	63066	1053606	60	61
contig_27_22A1NFb-1	52856	1117745	60	61
contig_28_22A1NFb-1	41380	1171503	60	61
contig_29_22A1NFb-1	3797	1213594	60	61
contig_3_22A1NFb-1	159246	1217475	60	61
contig_30_22A1NFb-1	77284	1379397	60	61
contig_31_22A1NFb-1	40721	1457991	60	61
contig_32_22A1NFb-1	127566	1499412	60	61
contig_33_22A1NFb-1	147141	1629126	60	61
contig_34_22A1NFb-1	247069	1778741	60	61
contig_35_22A1NFb-1	214645	2029949	60	61
contig_36_22A1NFb-1	33710	2248193	60	61
contig_37_22A1NFb-1	70407	2282486	60	61
contig_38_22A1NFb-1	56673	2354088	60	61
contig_39_22A1NFb-1	63268	2411727	60	61
contig_4_22A1NFb-1	52747	2476070	60	61
contig_40_22A1NFb-1	52898	2529718	60	61
contig_41_22A1NFb-1	69718	2583519	60	61
contig_5_22A1NFb-1	226593	2654419	60	61
contig_6_22A1NFb-1	170075	2884809	60	61
contig_7_22A1NFb-1	90204	3057739	60	61
contig_8_22A1NFb-1	177934	3149467	60	61
contig_9_22A1NFb-1	94918	3330387	60	61
contig_1_22A1NFb-2	3671609	20	60	61
contig_1_22A1NFb-3	22609	20	60	61
contig_10_22A1NFb-3	26732	23027	60	61
contig_11_22A1NFb-3	40721	50226	60	61
contig_12_22A1NFb-3	14476	91647	60	61
contig_13_22A1NFb-3	77533	106386	60	61
contig_14_22A1NFb-3	97439	185233	60	61
